unemployment,violent_total
6.908,733.2
6.008,723.1
5.225,667.7
4.842,657.1
4.667,638.7
4.567,606.6
4.267,572.7
3.925,533.9
3.575,504.7
4.05,495.7
5.008,459.6
4.825,454.5
4.758,451
5.35,446
4.708,477.9
4.525,491.5
6.242,488.9
9.925,428
10.55,402.3
10.225,374.6
9.175,380
8.2,375.4
7.092,377.3
9.383,229.3
7.892,224.8
7.075,270.1
6.083,289.7
5.025,299.5
5.408,247.6
6.3,255.7
6.167,252.1
5.683,231.9
5.375,219.4
4.783,245.2
3.817,263.3
3.167,257.1
2.517,270.1
2.65,280.9
2.858,241.8
4.325,258.4
4.483,261.2
5.533,262.2
5.867,295.6
6.258,280.6
6.233,277.9
6.1,246.9
5.392,234.9
4.25,243.8
4.508,254
4.217,262.9
4.117,272.3
3.383,254.6
2.85,256
2.608,280.7
2.792,276.1
4.308,272.5
7.15,274.1
6.942,264.3
6.825,251.4
6,243
4.9,254.4
4.35,259.2
5.583,226.7
5.783,236.9
5.467,236.4
5.825,288.7
7.533,313.4
7.758,283.3
9.95,259.2
8.967,238.7
7.333,235.3
7.892,234.8
8.45,222.5
7.633,214.2
6.033,234.7
5.292,254.6
5.533,275.7
6.233,290.3
6.375,281.4
6.008,281.8
5.433,285.8
5.417,322
5.3,267.2
5.15,256.8
5.125,282.2
4.917,244.9
4.708,252.5
5.092,243.1
5.567,254.6
5.6,245.9
4.925,247.4
4.008,257
3.5,250
3.083,256.2
5.083,241.5
8.758,246.2
8.967,220.5
8.342,202.2
7.225,209.8
6.117,215.2
4.842,212.2
6.633,625.8
6.2,630.6
5.975,676.7
5.517,743.9
8.142,808
8.533,792.5
11.367,774.3
11.792,728.1
9.033,724.9
9.05,714.8
8.267,808.9
7.458,796.2
6.675,810.4
6.042,845.9
6.142,967.4
7.242,1039.2
7.883,977.3
7.433,959.7
5.783,960.9
5.167,996.1
5.283,890.4
4.783,861.4
4.433,807.7
4.358,689.5
4.342,653.8
5.325,633.1
6.533,601.9
6.75,556.4
6.208,545.7
5.692,552
4.525,541.6
4.967,533.2
6.3,525.4
10.2,497.2
10.392,444.9
9.7,424
8.983,416.2
9.042,403.1
7.092,370
6.092,315.4
5.8,310.6
5.592,323.5
6.467,338
9.642,377.8
9.875,341.6
11.983,300.6
11.208,283.8
8.567,305.2
7.792,309.4
6.867,307.7
6.233,328.5
5.258,380
4.842,406.5
5.292,473.9
5.983,505.3
6.542,508.5
5.383,489.1
4.875,525.1
4.583,524.7
4.067,537
3.525,514.6
3.092,431
3.042,374.6
3.1,349.1
4.25,371.1
5.192,357.3
5.283,352.3
5.358,325.9
5.492,324
5.033,321.6
4.567,335.8
5.883,337.6
10.308,334
10.375,323.3
9.108,331.8
8.333,344.8
7.658,359.6
5.967,365.3
4.017,132.9
3.9,144
3.867,161.4
4.208,181.2
6.017,200.4
6.575,204.2
8.508,172.7
8.117,181.1
6.983,198.7
7.475,211.7
6.767,235.1
5.5,231.2
4.508,256.8
4.192,266.3
4.4,299.7
4.675,303.3
4.475,278
4.05,325.5
3.525,315.1
3.45,354.4
3.533,272.5
3.125,310
2.758,311.5
2.583,280
2.625,266.4
3.317,268.2
3.992,285.7
4.508,277.9
4.5,287.8
4.258,293
3.7,285.7
3.692,300.2
4.208,288.1
6.408,282.1
6.017,268.5
5.55,257.3
5.058,265.6
4.758,273
4.242,273.5
4.208,282.6
3.917,309.8
3.125,318.2
3.208,353.6
4.45,389.3
4.308,369.4
6.267,335.9
5.875,326.6
4.9,334.2
5.092,355.8
5.317,368.8
4.85,360.7
4.542,365.2
4.175,400.8
4.292,447.7
4.408,499.6
4.483,510.8
4.967,496.4
4.892,443
4.4,420.7
4.25,413.8
3.767,429.7
3.525,417.3
3.267,382.8
3.583,389.4
4.217,403.7
5.033,377.2
5.508,397.5
5.45,377.9
5.025,389
4.383,432.7
4.267,458.6
4.6,412.3
6.858,406.6
7.058,370.8
6.492,355.7
5.733,356.7
5.292,342.8
4.525,348.6
5.4,262.2
4.85,233.6
5.158,223.2
5.525,248
7.942,266.7
8.625,289.5
10.783,315
11.4,322.2
9.267,277.8
9.208,305.5
