unemployment,violent_total
3.925,99.3
5.858,307.7
5.458,290
5.292,286.4
4.758,301
5.158,307.2
6.008,321.7
7.433,309.1
6.442,292.5
5.092,295.6
5.483,294.7
5.033,306
4.258,295
3.933,299.2
3.892,312.5
4.467,350.6
5.908,373.2
6.283,374.9
5.242,372.2
4.867,357.7
4.525,361.5
4.45,341.3
3.825,345.2
2.917,325.7
2.75,314.7
2.3,281.7
3.233,291
4.217,291.7
4.108,278.2
3.825,275.5
3.567,283
3.1,283.7
3.033,272.8
3.942,257.8
6.7,230.8
7.15,214.2
6.592,197.6
6.033,191.5
5.717,197.8
5.233,196.2
8.9,388.6
8.475,374.9
6.858,405.3
6.658,434.6
8.1,464.3
9.558,447.3
11.958,406.4
11.108,371.8
9.283,406.4
8.375,425.4
8.125,437
7.35,439.5
6.308,466.4
5.9,471.7
5.242,501.6
6.342,522.6
7.333,534.5
7.325,514.6
6.575,511.3
6.442,484.3
6.067,431.2
4.908,440.7
4.8,428.5
4.883,377.3
5.167,369.7
6.3,354.7
7.408,345.5
7.408,346.9
6.267,343.6
5.55,346
5.042,348.7
4.708,336.5
5.383,334.2
9.142,336.3
10,313.5
9.292,295.3
8.133,298.1
7.033,290
6.125,285.2
7.342,151.6
6.883,152.3
6.217,167.7
6.95,168.1
9.458,183.7
10.567,174.8
13.983,174.8
17.825,171.8
14.8,168.2
13.133,166
11.8,164.5
10.842,137.3
9.85,131.4
8.625,146.7
8.458,169.3
10.65,191
11.317,211.5
10.633,208.4
8.842,215.8
7.867,210.2
7.517,210.1
6.858,218.7
6.617,248.6
6.458,350.7
5.483,316.5
5.008,279.6
5.917,233.9
6.05,255.4
5.325,281.9
5.108,274
4.942,281.2
4.583,276.8
4.358,275.9
7.725,305.2
8.642,301.2
8.058,296.3
7.508,320.1
6.792,305.2
6.642,302
5.542,137.7
5.1,131.5
5.017,132.2
4.567,166.1
7.208,182.6
8.008,187.9
10.517,190.5
10.25,190.9
7.375,196.5
7.192,206.9
6.983,257.9
5.908,249.9
4.417,214.4
4.35,222.6
4.375,264.7
5.5,277
5.117,275.7
4.775,264.4
4.525,270.5
3.8,281.1
3.608,252.7
3.558,270.6
3.35,249
3.117,245.8
3.525,236.8
4.525,231
5.375,225
5.7,221.1
5.025,209.8
4.742,242
4.742,286.1
4.9,291.5
4.908,275.5
8.575,259.1
8.667,248.9
7.758,249.9
7.042,283.9
6.725,280.7
5.392,290.3
3.992,218.2
3.417,240.9
3.017,280.4
2.733,350.9
3.842,392.6
4.058,430.1
6.2,304.2
8.133,237.2
6.258,242.1
6.858,256.8
8.883,293.1
8.058,283.1
6.467,314
6.15,258.3
5.3,301.4
5.225,310.2
5.592,319.5
5.35,286.2
4.975,272.5
4.8,254.2
4.933,249.7
4.783,255.2
4.7,247.6
4.642,232.5
3.908,266.5
3.825,257.6
4.042,273.4
4.275,261.7
3.808,229.9
3.583,230
3.175,253.8
2.817,257.1
3.05,249.7
6.325,219.7
6.458,197.9
5.808,219.4
5.317,201.3
4.725,207.8
4.158,195.5
